,Prozent Personen 0,Prozent Personen 50,Prozent Personen 100,Prozent Personen 200,Prozent Personen 500,Prozent Personen 1000,Prozent Personen 2000,Prozent Personen 3000,Prozent Personen 5000,Prozent Personen 10000,Prozent Personen mehr,Prozent Vermögen 0,Prozent Vermögen 50,Prozent Vermögen 100,Prozent Vermögen 200,Prozent Vermögen 500,Prozent Vermögen 1000,Prozent Vermögen 2000,Prozent Vermögen 3000,Prozent Vermögen 5000,Prozent Vermögen 10000,Prozent Vermögen mehr
CH,25.0272070428631,30.8540886835713,9.53044726268387,10.0631667248058,12.5590472994506,6.55405084526251,3.23587670011385,0.908213728208607,0.624991444736997,0.385735382406691,0.257174885896667,0,1.60406351073015,2.14776601132479,4.50084849616546,12.5240332694097,14.1513212177586,13.7349302577821,6.78922696431581,7.33036062345786,8.11658538823219,29.1008642608233
ZH,23.564559112769,27.7735288037136,9.31402730063117,9.83843982191213,13.1703007633467,8.09201733882675,4.77845773915165,1.45405289991538,1.02001737497755,0.606994501689485,0.387604343066559,0,1.1701329073467,1.58585167560281,3.30660749719273,9.93258983472014,13.2383999611908,15.332048423137,8.16228173639851,8.97619201870756,9.55273732440874,28.743158621295
BE,23.6204428311262,33.6779842866375,9.59065484711783,10.0972731966891,12.6888030697022,6.19877001660385,2.67346692680393,0.664617724994512,0.420507143983501,0.229732947043927,0.137747009297537,0,2.28678122517575,2.9251289853649,6.07719702209749,16.9609222312735,17.8365988822056,15.0896389187826,6.64168277536411,6.59005040443184,6.48499910776849,19.1070004475357
LU,19.660676953287,35.0652153672967,10.4272643401864,10.5292559269385,12.8467079147164,6.31670715295352,3.02546827257569,0.852751233632678,0.620836754212972,0.388075871583705,0.267040212616486,0,1.89132343706466,2.36474185388495,4.76388907911651,12.98222247931,13.8162164976082,13.0237043224219,6.5413873035904,7.451625222289,8.34696328527321,28.8179265194411
UR,6.97901415324549,32.4681662895426,12.9952526731443,14.579173876392,19.6636940414393,8.76258928967567,3.16340565242469,0.64332934025467,0.390434358223524,0.23958471981898,0.115355605838768,0,2.26377411462985,3.50389563944198,7.84388660457595,23.364718866357,22.1185945143342,15.7801854073383,5.78059747296357,5.38072152197079,6.20275807066286,7.76086778772553
SZ,10.2527631149182,30.9542624142618,9.60900211777349,11.0387626302536,16.3458397867476,10.1063101221144,6.0214306034074,1.89545995722308,1.49297763167599,1.11156767919419,1.17162394243028,0,0.516642131687703,0.690038607666132,1.57732749741896,5.27652995386632,7.01654905412098,8.22709079605932,4.53221717863752,5.61026103007894,7.59555015672647,58.9577935937377
OW,13.8399874253379,33.81798176674,12.1463376296762,13.6474379126061,15.1524677774285,6.51524677774285,2.78214397988054,0.750550141464948,0.561930210625589,0.49119773656083,0.294718641936498,0,1.47781779822839,2.15027163639619,4.84168572657107,11.7049337601358,10.9013358241659,9.2569023657419,4.49070767898788,5.27955605153955,8.70072063145628,41.1960685267771
NW,9.36779471922648,32.6961695797694,11.0078095946449,12.182967645965,15.8720714020082,9.38267013759762,5.04648568240982,1.50985496467088,1.02268501301599,1.04871699516549,0.862774265526218,0,0.559735640063226,0.77261078042296,1.701782672893,4.95474992157702,6.3198547313339,6.76690596078739,3.5734166064262,3.75754668029082,7.1920235156581,64.4013734905474
GL,17.8850627311902,31.8041414025855,11.3755100484308,12.6949624375548,14.3004232925295,7.36376463409984,2.94779392136674,0.781756473324944,0.438546314304237,0.228806772680471,0.179231971933036,0,2.10396343529832,3.12186242748574,6.87987447680241,17.3102443151959,19.258558071555,14.9649834571504,7.07430351999832,6.10353134010883,5.67338500937237,17.5092939470327
ZG,14.5008048089113,28.2024984687264,9.69616683047733,10.9952566129653,15.0606099454439,9.96681053516232,5.99404583849693,2.04407219064712,1.45008048089113,1.11533695141233,0.974317336865946,0,0.604773346459352,0.865457730677748,1.95611947471331,6.00224368808148,8.60282155868409,10.1571712144905,6.08528712843901,6.79116322111513,9.6122636460063,49.3226989913331
FR,34.3659424360213,32.9122385242771,9.01150380838969,8.92556227110342,9.09576021749388,3.42642730357022,1.449210236592,0.358932302783832,0.239849911249916,0.138180510930865,0.076392477587795,0,3.39946618147504,4.14152847630017,8.14231697366038,18.2678182643724,15.0101281156345,12.5995868723995,5.52535050221107,5.78820845299333,5.98817747516182,21.1374186857918
SO,40.7140558072743,32.387531258511,7.03037955879076,6.59523632672262,7.56889252024066,3.34868404763673,1.45398499591473,0.371388249275793,0.251925029092079,0.173933496744163,0.103988709797222,0,3.09753283635443,3.39152322437957,6.34889397340288,16.0995995025941,15.542605415408,13.3894866393753,5.99027221623978,6.42523806812243,8.0302463702298,21.6846017538937
BS,25.7656727676976,38.306269107079,8.1684996228213,7.81673085321793,9.29924167229126,5.15583435899472,3.08571882320245,0.990987414142216,0.671775122086791,0.417675785127248,0.321594473339421,0,1.23109384450027,1.35744090533427,2.58915046125536,6.94924281511894,8.38023507870445,9.93244222649193,5.55479514290164,5.93691815562747,6.53707126824664,51.5316101018191
BL,29.9481513559064,33.9532542924357,8.48538757739259,8.48538757739259,10.0139277396098,5.11347011387975,2.45491040601117,0.67766060790487,0.414320993434066,0.266850809330415,0.186678526702637,0,2.18714670137895,2.56698932327883,5.13350757949963,13.4956500607543,14.9305436936528,14.0464261822196,6.86280859086867,6.57835572006032,7.59105633690181,26.6075158113851
SH,24.646964921616,30.1236134419385,9.24849576357906,10.0814538905489,13.3907740166182,7.41066677581761,3.45462731775204,0.789979943514387,0.495272399819901,0.249682780074495,0.108468748720887,0,2.05581905683207,2.6352480477029,5.73113285682965,17.0343616946023,20.2787010696179,18.5749633130483,7.41138964314836,7.48015294820437,6.59645981831372,12.2017715517005
AR,11.746970654109,33.8310457704014,11.2530867742491,12.3011543099983,16.1804399012232,8.28404065927755,3.97117096422213,1.06529604318613,0.620226267731006,0.379027163613392,0.367541491988744,0,1.49689286113964,2.13099346897927,4.65094388520172,13.6003225318725,15.1388814641611,14.1006046567162,6.75128967559046,6.09386718520257,6.6864351572952,29.3497691138413
AI,13.5601726387634,29.1177356218007,11.3620395463214,11.7835993174747,16.772056609455,9.7460604235672,4.40630332229248,1.22453076382616,0.823045267489712,0.71263675599719,0.491819733012145,0,1.31518104312095,1.90560701623541,3.97615674300089,12.5762339082252,15.8253339010669,13.8709733372297,6.87828673392294,6.99668609178711,11.1895402475272,25.4660009778837
SG,13.5169613995688,35.2231011238941,10.4755038919361,11.5934180932669,15.5062839070188,8.07622414096682,3.54111366180853,0.925892088888298,0.609288156089393,0.329228223928347,0.202985312633925,0,1.85321187082903,2.43373513445794,5.38416527632846,16.0444047832964,18.0171885881262,15.452403496681,7.17322646902216,7.38472909089501,7.06425160605398,19.1926836843098
GR,14.1403405754551,27.0687022900763,11.68291250734,14.8144450968878,18.603640634175,8.16617733411627,3.44509688784498,0.876688197298884,0.57428068115091,0.421608925425719,0.206106870229008,0,1.57580834788247,2.63359103428349,6.63644161988213,18.2272376555071,17.3939260234279,14.4147496777376,6.51721026707093,6.72185495968199,8.74370871154568,17.1354717029808
AG,20.5739049371687,32.8605943653096,9.24280081819764,9.88494040206982,13.4092034176409,8.18699849024964,3.87903095608585,0.939288891496346,0.578213291274334,0.29727467668497,0.147749753822215,0,1.80659852481225,2.32424144054054,4.96962531567562,15.2328439027711,19.8795328106142,18.2578432297854,7.69778058385907,7.31934480022691,6.63957402933794,15.872615362377
TG,19.0597277454879,31.7891557051086,9.92722035280922,10.9456255735699,14.646426022229,7.88085041297033,3.71545834607933,0.944478433771796,0.567196900173346,0.328846742122973,0.195013765677577,0,1.72377632725642,2.3247214531946,5.11753479510446,15.226961242923,17.6746691865981,16.2645024525778,7.31593172445875,6.90629782705351,7.18820867234556,20.2573963184878
TI,31.6902319862814,28.6921247613809,9.97670430646779,10.5421102015725,10.849483935678,4.56813990358171,2.05819070113567,0.639822693888116,0.481282557349468,0.32152910343935,0.180379849225095,0,2.14038944619009,3.22389257739241,6.74249132881167,15.2168850872758,14.0146340360781,12.5888140644378,6.88458999560368,8.12647676171522,9.75389880953927,21.307927892956
VD,29.7405459084325,25.849764205449,10.0255587106694,10.3198156660939,12.6013367411614,6.30318534298325,3.06201133552844,0.882999681946215,0.615056528912004,0.379147570091961,0.220578308731835,0,1.61861963458386,2.41233919440309,4.89981052492825,13.3572727306513,14.4641385849162,13.8528239045731,7.03327956840702,7.71072110429517,8.48299237772049,26.1680023755215
VS,30.1276938248688,29.9533022014676,10.7064129709662,10.7118513791803,11.3303796734055,4.6828320329495,1.68626910694086,0.381051135539635,0.246541172375787,0.10985584592627,0.063810656379615,0,3.07769700087945,4.72272861713788,9.30624182661053,21.9101866666636,19.5571721923771,13.8092618861484,5.60562329506573,5.6617743839187,4.5529792129773,11.7963349182213
NE,32.548688041045,33.3374967573332,8.70379800347806,8.72301380655451,9.97492337698523,4.03243627559305,1.63814721226737,0.433316359373949,0.318982331069071,0.172942227688051,0.116255608612523,0,3.12415059070206,3.80053890057257,7.5866100060754,19.1106157554795,16.7145823273744,13.5994200166309,6.30947857779389,7.33788355571447,7.00836669582314,15.4083535738336
GE,38.7009162665919,27.6939086537929,7.06444125450661,7.16776571915673,8.92132949064729,4.8636301574591,2.81817477333196,0.929551165905879,0.785634947286072,0.579355033931016,0.475292537390541,0,1.08475401613817,1.31391281690115,2.66439147356925,7.40524269743833,8.77578117967805,10.0444589628571,5.810247677666,7.78590735203467,10.2589426999841,44.8563611237332
JU,40.2745402745403,25.6431839765173,8.85996719330053,9.68445135111802,10.4981438314772,3.24613657946991,1.11585944919278,0.280583613916947,0.20288353621687,0.107916774583441,0.086333419666753,0,3.14279835551406,4.50798443095202,9.74871110249963,22.9189955402602,15.3154525830589,10.6096607400427,4.68938537532869,5.29840425356421,5.16428812876588,18.6043194900138
