Kanton Zürich,0.104774442689135,0.106060883683358,0.106985647086385,0.111616445728439,0.11556251829318,0.13000856899063,0.134259435647577,0.138803500742207,0.15190487900846,0.158122822896953,0.164793916935596,0.175408601966344,0.176686816752669,0.176381724044763,0.17153006821521
Kanton Bern,0.170417596562936,0.164862903367149,0.167393533938405,0.166676024715136,0.163332481079625,0.15807600975194,0.154099613326218,0.156457972538347,0.153370302970687,0.155351415698655,0.155154027832921,0.149860353383394,0.143817736594712,0.141125140591521,0.137208167901739
Kanton Luzern,0.055519195566589,0.051983435916147,0.049775122495246,0.047569962006323,0.046391847976217,0.044192887647292,0.044553675932042,0.045633607537523,0.046574611449931,0.048434689428683,0.047348754780496,0.046683210964106,0.046196335662654,0.046522284148817,0.047466228823047
Kanton Uri,0.006062087815642,0.005871757408508,0.006062144609362,0.008384811428261,0.005911738960858,0.005941890721692,0.0058916263665,0.006178098713508,0.005648239228802,0.006400351829464,0.006056425970606,0.005898073350069,0.005437349267112,0.00532252794551,0.004976659542397
Kanton Schwyz,0.018459172329631,0.017940308114903,0.017978524301874,0.018048320724687,0.017241686584956,0.01670515825487,0.015567129984257,0.01539331807686,0.015329775722998,0.015602352062485,0.015075741379837,0.01437596667269,0.014685037743731,0.015292901620494,0.016288783588779
Kanton Obwalden,0.005767028594833,0.00532803928473,0.005439922621498,0.00541318962196,0.005155677963255,0.004602703168174,0.004572251620111,0.004527203941943,0.004771050560693,0.00476826445723,0.00469247879954,0.004261326221975,0.003909066709326,0.004063016418576,0.004222624626347
Kanton Nidwalden,0.004738918561983,0.004591131937485,0.004407154648906,0.004230191041911,0.004297140883022,0.003942157955965,0.00367357411212,0.003596610588817,0.003702291953571,0.004066856037563,0.004112202099176,0.004086894584533,0.004088498756656,0.004495315710435,0.004807318110353
Kanton Glarus,0.012626946513203,0.013289426933047,0.013261011954421,0.012092011157619,0.011592821053454,0.009757067155128,0.008876471940773,0.008719383968333,0.008767706079087,0.008151294171207,0.0079879244758,0.00739501729673,0.006085537569642,0.005767865333744,0.005602233561115
Kanton Zug,0.007297491578692,0.007810421224206,0.007881352963709,0.00806169390565,0.007892714738803,0.007568521009108,0.007501679192112,0.008135669223157,0.008458341530592,0.008590143289395,0.008958445740735,0.009668154400918,0.010845032435732,0.011927501900735,0.012445431396571
Canton de Fribourg,0.041747536297299,0.042032796758564,0.041585295071452,0.040608280213166,0.040837918481133,0.038592429427983,0.037208392736725,0.036866804799604,0.03522280149518,0.035645472739195,0.03365753324714,0.029322566093842,0.02875841157501,0.029099460254227,0.031070806686426
Kanton Solothurn,0.029118918060466,0.02758941275256,0.028100931035431,0.028378546832795,0.029344831675323,0.030391715375592,0.031183283585907,0.033661399059871,0.035460849891796,0.036323203936139,0.036162945769579,0.036989085221183,0.035748127168038,0.034260661392783,0.033714948032984
Kanton Basel-Stadt,0.012411712095756,0.016205190058363,0.017717507451033,0.022673668605725,0.02527594855495,0.03384977512809,0.036213000157462,0.036261957776678,0.038124631123352,0.039843608427497,0.041675150244157,0.041551936881903,0.037472588764236,0.032032089425633,0.029010776894555
Kanton Basel-Landschaft,0.022359303559936,0.022756893867816,0.022619577167768,0.023121442396621,0.023392993377783,0.02300235594459,0.022677153102622,0.023474094920007,0.02506123352351,0.024431143002689,0.025108844299206,0.029587252749601,0.034954000800347,0.036671138367191,0.036150031271427
Kanton Schaffhausen,0.014752961040481,0.014140654501189,0.014177772437751,0.013504193641683,0.012949343913161,0.012521403625398,0.012281748320741,0.012995835395019,0.012587792642141,0.0126056596064,0.012198323984431,0.012153298701194,0.011619859889888,0.010903775707042,0.010498004928069
Kanton Appenzell A.Rh.,0.018230564123139,0.019291437694285,0.018355548641978,0.018346365740079,0.01854474366242,0.01667378989776,0.015445903104287,0.014265318324262,0.012044314381271,0.010492057229488,0.010167143443722,0.009010766318522,0.007818930894419,0.007478997668851,0.007598396610145
Kanton Appenzell I.Rh.,0.00471091719117,0.004779939549698,0.004490393788929,0.004546245886431,0.004417096163693,0.004071552429042,0.003905636996632,0.003766184232228,0.00343989769821,0.003137349224735,0.002847724874189,0.002384021840978,0.002093214390355,0.002017606142671,0.002017839916191
Kanton St. Gallen,0.070891530212225,0.071862806175045,0.071816922102854,0.074058889316181,0.078201932034024,0.075490665953238,0.080701400077212,0.076164594672604,0.07042150304938,0.06709351307393,0.065558117595958,0.062531807986685,0.061321899019472,0.061576729982595,0.062193841529299
Kanton Graubünden,0.037569898944307,0.036133554697645,0.034690382414169,0.033146560811248,0.032494171887006,0.031525198894989,0.031191010134301,0.030887658749794,0.031069250442652,0.030064681015064,0.029077461849352,0.027160866308189,0.025851931398583,0.025862713557735,0.025297922352298
Kanton Aargau,0.083524327758135,0.07735854167231,0.074846676140612,0.070046581893342,0.066345552092466,0.062283682753708,0.061448440076488,0.06205055253175,0.063851072201456,0.063404086032244,0.063792685120145,0.066482951655913,0.069106697951109,0.071229162608625,0.073833446300363
Kanton Thurgau,0.037157401138444,0.035880616229807,0.035104318228129,0.035041830476657,0.035876225343192,0.03414958423354,0.03594630102153,0.03503138916378,0.033460308872713,0.032379656999093,0.031757848157537,0.030653551323148,0.029161296331947,0.028871529195911,0.030458471559732
Cantone del Ticino,0.04921512575541,0.046342708919208,0.045796969567996,0.046046542342344,0.043441290801075,0.041815829739797,0.04160772953244,0.039238000989609,0.039155764312414,0.037949665037627,0.037127316440834,0.036022067167785,0.039149361309634,0.041768876964354,0.041052349343227
Canton de Vaud,0.083408560896713,0.084906464549578,0.086473790405352,0.083109711288314,0.084878642956192,0.084869201491324,0.084580926668928,0.081822633184892,0.081608548101515,0.080502088401373,0.080081790170588,0.079113496790697,0.081637753651123,0.0830584860728,0.087553593871819
Canton du Valais,0.034086026898033,0.036165022633014,0.036430118105417,0.035380485891065,0.034953255140769,0.034516654335484,0.034204896873226,0.033050366980043,0.033541707652961,0.034770118782297,0.03375997244534,0.032746546778531,0.032945797326638,0.034355698119373,0.03634395921723
Canton de Neuchâtel,0.029569865509834,0.034801544876463,0.035941606048359,0.036282389883137,0.037067209915572,0.038088122763685,0.035451801924337,0.033850043295398,0.030573480228212,0.027639055039697,0.027179685564684,0.027193100243302,0.02698227354918,0.024877316225675,0.023856919874298
Canton de Genève,0.026808596002909,0.033011855843397,0.033442925256902,0.035211687884717,0.036161033452443,0.039997369883904,0.041272024326372,0.04406853043048,0.042141943734015,0.040990898803785,0.043036764431414,0.047749325343738,0.052888433299845,0.054829122394737,0.055165444687836
Canton du Jura,0.0187738743031,0.019002251351528,0.019224851516064,0.018403926566511,0.018439183015429,0.017365703467078,0.015684893239084,0.015099270163286,0.013707702144403,0.013239552777116,0.012630774347019,0.011709759754035,0.010738011187947,0.010208358205204,0.009635731158547
